CLONE;FRY.gebvs;FRY.gegvs;AGY.gebvs;AGY.gegvs;PLH.gebvs;PLH.gegvs;DMC.gebvs;DMC.gegvs;DRY.gebvs;DRY.gegvs
40;BGM0123;13.3903736730632;11.075371875936;12.6897391489619;11.7630594101841;1.77878728416813;1.76710464222224;31.162211838361;30.7067480046576;3.71566365420342;2.63432867198981
41;BGM0124;14.9822440129735;16.033367306286;14.7189668690229;14.5496886197641;1.67913102816442;1.666469609539;33.6906411655692;33.8368427789533;4.61083197410975;4.90191890130383
42;BGM0126;15.0812952158405;13.856462072783;19.496914105752;19.0013802205657;1.71090076172073;1.69215850290234;34.6995335441103;34.581631378411;4.84155155937961;4.61406476606684
43;BGM0130;15.2734537149832;15.9906369608254;21.4981882191297;22.2298872417948;2.1690153630618;2.19721993540055;33.4957461132219;33.4176667219826;4.74737427333752;4.93176126912453
44;BGM0132;13.2157263518337;12.6600945544879;15.332521732869;14.7860526350462;1.94913204252706;1.95235999551394;31.0637054365736;30.6703610920255;3.6891124639782;2.9698649398387
45;BGM0133;14.630437700243;11.2160017942918;16.9254709092136;16.2076872732891;1.75222146442393;1.74096525350729;34.6654225059818;34.540670817192;4.70841904482669;4.05647684541035
46;BGM0134;14.8677031738752;14.9736961030326;19.4707688893387;19.6093974486585;2.07483784210491;2.08339234262416;35.6923374619417;35.8223254516028;4.65465708672665;4.76945973486284
47;BGM0137;15.285210044565;13.7858059637091;18.5133504416921;17.6769920679704;1.79371061787307;1.77898214829346;33.5205632680819;33.265508862935;4.76016895829118;4.27147592672671
48;BGM0140;15.4318349918637;17.0970371927671;20.0749626439693;20.362860726225;1.89842230950019;1.8930484627507;36.1709674905067;36.3997249103419;4.97447383286585;5.5136204360278
49;BGM0145;14.9222778748408;17.1070321703801;19.4341519158446;20.3153911764113;2.02960826855046;2.04979881028043;31.4828924395824;31.3260513689483;4.36259248310481;4.69502851072986
50;BGM0150;15.4264706695265;19.0442838353205;22.3170247871419;23.3694015176537;1.95528658148032;1.9658140166587;34.2903013093686;34.3622939363441;4.86921123108715;5.80675350809879
51;BGM0151;15.3555981665902;14.6597439442577;23.1708259799201;23.7307903990641;1.87208523109323;1.86665073479619;34.27918028518;34.1750065471827;4.87978890207919;4.67301985835125
52;BGM0155;15.8529268423696;18.6583248897099;18.0562142162577;17.8565664193619;1.99072122495512;2.00449254100394;34.0691478555247;34.2262942039948;4.97852250953663;5.71005603520857
53;BGM0156;15.4315511654414;18.7369673196365;22.219304436885;23.2228605114621;1.95243637312706;1.96110570539549;34.2981504974158;34.3703386269785;4.86845154864304;5.73283876926405
54;BGM0157;15.817752440507;18.4086918970798;17.9327832879014;17.6978531190992;1.99093017744757;2.00419672312913;34.0382863493103;34.1951884116814;4.96606244499797;5.64966654243634
